2026-08-28 16:02:51 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  69.4% of   69.76MiB at  Unknown B/s ETA Unknown
2026-08-28 16:02:51 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  69.4% of   69.76MiB at  Unknown B/s ETA Unknown
2026-08-28 16:02:51 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  69.4% of   69.76MiB at  Unknown B/s ETA Unknown
2026-08-28 16:02:51 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  69.5% of   69.76MiB at   14.51MiB/s ETA 00:01
2026-08-28 16:02:51 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  69.5% of   69.76MiB at    1.01MiB/s ETA 00:21
2026-08-28 16:02:51 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  69.5% of   69.76MiB at    1.18MiB/s ETA 00:18
2026-08-28 16:02:51 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  69.6% of   69.76MiB at    1.90MiB/s ETA 00:11
2026-08-28 16:02:51 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  69.8% of   69.76MiB at    2.71MiB/s ETA 00:07
2026-08-28 16:02:51 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  70.2% of   69.76MiB at    4.16MiB/s ETA 00:05
2026-08-28 16:02:51 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  70.9% of   69.76MiB at    6.64MiB/s ETA 00:03
2026-08-28 16:02:52 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  72.3% of   69.76MiB at   10.62MiB/s ETA 00:01
2026-08-28 16:02:52 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  75.2% of   69.76MiB at   15.57MiB/s ETA 00:01
2026-08-28 16:02:52 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  80.9% of   69.76MiB at   19.36MiB/s ETA 00:00
2026-08-28 16:02:52 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  83.3% of   69.76MiB at   20.51MiB/s ETA 00:00
2026-08-28 16:02:52 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  83.3% of   69.76MiB at  169.47KiB/s ETA 01:10
2026-08-28 16:02:52 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  83.3% of   69.76MiB at  453.19KiB/s ETA 00:26
2026-08-28 16:02:52 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  83.3% of   69.76MiB at 1022.79KiB/s ETA 00:11
2026-08-28 16:02:52 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  83.3% of   69.76MiB at    2.09MiB/s ETA 00:05
2026-08-28 16:02:52 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  83.4% of   69.76MiB at    1.45MiB/s ETA 00:08
2026-08-28 16:02:52 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  83.4% of   69.76MiB at    1.55MiB/s ETA 00:07
2026-08-28 16:02:52 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  83.5% of   69.76MiB at    1.73MiB/s ETA 00:06
2026-08-28 16:02:52 | DEBUG    | downloader | [JOB 27ed4c3f-0d02-4923-b820-a2b4b273184f] yt-dlp: [download]  83.7% of   69.76MiB at    2.53MiB/s ETA 00:04
